idx,title,venue,status,num_metrics,metrics
0,Is Quantization a Deal-breaker? Empirical Insights from Large Code Models,arXiv,ok,9,Composite/Quality-cost trade-off; Computational/Parameters; Computational/Peak memory; Computational/Speedup ratio; Environmental/Carbon emissions; Environmental/Energy consumption; Task Quality/Accuracy; Task Quality/Precision / Recall; Task Quality/pass@k
1,Greening Large Language Models of Code,arXiv,ok,9,Composite/Quality-cost trade-off; Computational/FLOPs; Computational/Latency; Computational/Parameters; Computational/Speedup ratio; Environmental/Carbon emissions; Environmental/Energy consumption; Environmental/Monetary cost; Task Quality/Accuracy
2,"On the Compression of Language Models for Code: Distillation, Quantization, and Pruning",arXiv,ok,13,Composite/Quality-cost trade-off; Computational/FLOPs; Computational/Latency; Computational/Parameters; Computational/Peak memory; Computational/Speedup ratio; Environmental/Carbon emissions; Environmental/Energy consumption; Task Quality/Accuracy; Task Quality/BLEU / CodeBLEU; Task Quality/F1 score; Task Quality/MRR / Recall@k; Task Quality/Precision / Recall
3,A Metamorphic Testing Perspective on Knowledge Distillation for Code,arXiv,ok,13,Composite/Quality-cost trade-off; Computational/FLOPs; Computational/Latency; Computational/Parameters; Computational/Peak memory; Computational/Speedup ratio; Environmental/Carbon emissions; Environmental/Energy consumption; Environmental/Monetary cost; Task Quality/Accuracy; Task Quality/BLEU / CodeBLEU; Task Quality/F1 score; Task Quality/Precision / Recall
4,Compressing Pre-trained Models of Code into 3 MB,ASE,ok,8,Computational/FLOPs; Computational/Latency; Computational/Parameters; Computational/Peak memory; Computational/Speedup ratio; Computational/Training time; Environmental/Monetary cost; Task Quality/Accuracy
5,An Empirical Study of Knowledge Distillation for Code Understanding Tasks,ICSE,ok,9,Composite/Quality-cost trade-off; Computational/Latency; Computational/Parameters; Computational/Speedup ratio; Computational/Training time; Environmental/Monetary cost; Task Quality/Accuracy; Task Quality/F1 score; Task Quality/MRR / Recall@k
6,Compact Language Models via Pruning and Knowledge Distillation (Minitron),NeurIPS,ok,7,Composite/Quality-cost trade-off; Composite/Tokens / Turns (agent cost); Computational/FLOPs; Computational/Parameters; Environmental/Monetary cost; Task Quality/Accuracy; Task Quality/pass@k
7,FineSec: Distilling Lightweight Language Models for C/C++ Vulnerabilities,arXiv,ok,6,Composite/Quality-cost trade-off; Computational/Latency; Computational/Parameters; Computational/Peak memory; Task Quality/Accuracy; Task Quality/Precision / Recall
8,LoRACode: LoRA Adapters for Code Embeddings,ICLR,ok,6,Computational/Latency; Computational/Parameters; Computational/Peak memory; Computational/Training time; Task Quality/Accuracy; Task Quality/MRR / Recall@k
9,PEFT for Large Models: A Comprehensive Survey,arXiv,ok,12,Composite/Compression ratio; Composite/Quality-cost trade-off; Computational/Latency; Computational/Parameters; Computational/Peak memory; Computational/Speedup ratio; Computational/Throughput; Computational/Training time; Environmental/Monetary cost; Task Quality/Accuracy; Task Quality/MRR / Recall@k; Task Quality/Precision / Recall
10,Astraios: Parameter-Efficient Instruction Tuning Code LLMs,ICLR,ok,7,Composite/Quality-cost trade-off; Computational/Parameters; Computational/Training time; Environmental/Monetary cost; Task Quality/Accuracy; Task Quality/F1 score; Task Quality/pass@k
11,PEFT of Small LMs for Code Generation (Gemma/Qwen/Llama),IJECE,no_pdf,0,
12,Draft & Verify: Lossless LLM Acceleration via Self-Speculative Decoding,ACL,ok,11,Composite/Compression ratio; Composite/Quality-cost trade-off; Computational/Latency; Computational/Parameters; Computational/Peak memory; Computational/Speedup ratio; Computational/Throughput; Environmental/Monetary cost; Task Quality/Accuracy; Task Quality/BLEU / CodeBLEU; Task Quality/pass@k
13,LayerSkip: Enabling Early-Exit Inference and Self-Speculative Decoding,arXiv,ok,11,Composite/Quality-cost trade-off; Computational/Latency; Computational/Parameters; Computational/Peak memory; Computational/Speedup ratio; Computational/Throughput; Environmental/Monetary cost; Task Quality/Accuracy; Task Quality/BLEU / CodeBLEU; Task Quality/MRR / Recall@k; Task Quality/pass@k
14,DynamicKV: Task-Aware Adaptive KV Cache Compression,Findings of EMNLP,ok,8,Computational/Latency; Computational/Peak memory; Computational/Throughput; Environmental/Monetary cost; Task Quality/Accuracy; Task Quality/BLEU / CodeBLEU; Task Quality/F1 score; Task Quality/Precision / Recall
15,LaCache: Ladder-Shaped KV Caching for Efficient Long-Context Modeling,ICML,no_pdf,0,
16,Efficient LLM Inference on CPUs,arXiv,ok,7,Composite/Quality-cost trade-off; Computational/Latency; Computational/Parameters; Computational/Peak memory; Computational/Speedup ratio; Task Quality/Accuracy; Task Quality/Precision / Recall
17,Attaining Cheaper and Faster Completion through Dynamic Model Inference,arXiv,ok,9,Composite/Quality-cost trade-off; Computational/Parameters; Computational/Speedup ratio; Environmental/Carbon emissions; Environmental/Energy consumption; Environmental/Monetary cost; Task Quality/Accuracy; Task Quality/BLEU / CodeBLEU; Task Quality/Precision / Recall
18,Accelerating Inference of RAG via Sparse Context Selection,NeurIPS,ok,9,Composite/Quality-cost trade-off; Computational/Latency; Computational/Parameters; Computational/Peak memory; Computational/Speedup ratio; Computational/Throughput; Task Quality/Accuracy; Task Quality/F1 score; Task Quality/Precision / Recall
19,Accelerating LLM Inference for Efficient Code Generation,arXiv,ok,7,Composite/Quality-cost trade-off; Composite/Tokens / Turns (agent cost); Computational/Latency; Computational/Parameters; Computational/Peak memory; Computational/Speedup ratio; Task Quality/pass@k
20,Speculative Decoding for Verilog,arXiv,ok,6,Computational/Latency; Computational/Peak memory; Computational/Speedup ratio; Computational/Throughput; Task Quality/Accuracy; Task Quality/pass@k
21,FrugalGPT: How to Use LLMs While Reducing Cost,arXiv,ok,6,Computational/Latency; Computational/Speedup ratio; Computational/Throughput; Environmental/Monetary cost; Task Quality/Accuracy; Task Quality/Precision / Recall
22,RouteLLM: Learning to Route LLMs with Preference Data,ICLR,ok,4,Composite/Quality-cost trade-off; Computational/Latency; Computational/Parameters; Environmental/Monetary cost
23,Hybrid LLM: Cost-Efficient and Quality-Aware Query Routing,ICLR,ok,12,Composite/Quality-cost trade-off; Composite/Tokens / Turns (agent cost); Computational/FLOPs; Computational/Latency; Computational/Parameters; Computational/Speedup ratio; Environmental/Energy consumption; Environmental/Monetary cost; Task Quality/Accuracy; Task Quality/BLEU / CodeBLEU; Task Quality/MRR / Recall@k; Task Quality/Precision / Recall
24,AutoMix: Automatically Mixing Language Models,NeurIPS,ok,9,Composite/Quality-cost trade-off; Computational/Latency; Computational/Parameters; Computational/Training time; Environmental/Energy consumption; Environmental/Monetary cost; Task Quality/Accuracy; Task Quality/F1 score; Task Quality/Precision / Recall
25,FlashAttention: Fast and Memory-Efficient Exact Attention with IO-Awareness,NeurIPS,ok,10,Composite/Compression ratio; Computational/FLOPs; Computational/Latency; Computational/Parameters; Computational/Peak memory; Computational/Speedup ratio; Computational/Throughput; Computational/Training time; Task Quality/Accuracy; Task Quality/Precision / Recall
26,Switch Transformers: Scaling to Trillion Parameter Models,JMLR,ok,12,Composite/Quality-cost trade-off; Composite/Tokens / Turns (agent cost); Computational/FLOPs; Computational/Latency; Computational/Parameters; Computational/Peak memory; Computational/Speedup ratio; Computational/Training time; Environmental/Monetary cost; Task Quality/Accuracy; Task Quality/BLEU / CodeBLEU; Task Quality/Precision / Recall
27,DeepSeekMoE: Towards Ultimate Expert Specialization,arXiv,ok,4,Computational/FLOPs; Computational/Parameters; Task Quality/Accuracy; Task Quality/pass@k
28,EffiCoder: Enhancing Code Generation through Efficiency-Aware Fine-tuning,ICML,ok,6,Computational/Latency; Computational/Peak memory; Computational/Training time; Environmental/Energy consumption; Task Quality/MRR / Recall@k; Task Quality/pass@k
29,GREEN-CODE: Learning to Optimize Energy Efficiency in LLM-based Code Generation,arXiv,ok,12,Composite/Quality-cost trade-off; Computational/Latency; Computational/Parameters; Computational/Peak memory; Computational/Throughput; Environmental/Carbon emissions; Environmental/Energy consumption; Environmental/Monetary cost; Task Quality/Accuracy; Task Quality/BLEU / CodeBLEU; Task Quality/MRR / Recall@k; Task Quality/Precision / Recall
30,Arctic-SnowCoder: Demystifying High-Quality Data in Code Pretraining,arXiv,ok,5,Computational/Parameters; Environmental/Monetary cost; Task Quality/AUROC / AUC; Task Quality/Precision / Recall; Task Quality/pass@k
31,"Code Less, Align More: Efficient LLM Fine-tuning with Data Pruning",arXiv,ok,6,Composite/Compression ratio; Computational/FLOPs; Computational/Parameters; Computational/Training time; Task Quality/Accuracy; Task Quality/pass@k
32,Learn to Code Sustainably: An Empirical Study on LLM-based Green Code Generation,arXiv,ok,9,Computational/FLOPs; Computational/Latency; Computational/Parameters; Computational/Peak memory; Computational/Training time; Environmental/Carbon emissions; Environmental/Energy consumption; Task Quality/Accuracy; Task Quality/MRR / Recall@k
33,Carbon Footprint Evaluation of Code Generation through LLM as a Service,arXiv,ok,6,Computational/FLOPs; Computational/Latency; Computational/Peak memory; Environmental/Carbon emissions; Environmental/Energy consumption; Task Quality/Accuracy
